split,seed,damping,shrink_threshold,reward,nmse,support,conformal
baseline,70023,1.0,0.0,0.9684032232288233,0.9960080580720584,1.0,0.9
baseline,70024,1.0,0.0,0.8992261314270165,0.973065328567541,0.8000000000000002,0.9
baseline,70025,1.0,0.0,0.9924341981696863,0.9810854954242157,1.0,1.0
baseline,70026,1.0,0.0,0.9673582750255698,0.9933956875639246,1.0,0.9
baseline,70027,1.0,0.0,0.929988989933932,0.9749724748348297,0.9,0.9
baseline,70028,1.0,0.0,0.8424676778819883,0.9061691947049707,0.7,0.9
baseline,70029,1.0,0.0,0.8880653023168283,0.9451632557920705,0.8000000000000002,0.9
baseline,70030,1.0,0.0,0.9276438809387666,0.9691097023469162,0.8000000000000002,1.0
baseline,70031,1.0,0.0,0.9360133670806823,0.9900334177017055,0.9,0.9
baseline,70032,1.0,0.0,0.9311163672210283,0.9777909180525706,0.9,0.9
baseline,70033,1.0,0.0,0.8595629528265156,0.9489073820662891,0.7,0.9
baseline,70034,1.0,0.0,0.9010904339533008,0.9777260848832516,0.8000000000000002,0.9
baseline,70035,1.0,0.0,0.8604375024883316,0.951093756220829,0.7,0.9
baseline,70036,1.0,0.0,0.8980668120329429,0.970167030082357,0.7,1.0
baseline,70037,1.0,0.0,0.9231876377057491,0.9579690942643727,0.8000000000000002,1.0
baseline,70038,1.0,0.0,0.9331763337505611,0.9829408343764026,0.9,0.9
baseline,70039,1.0,0.0,0.9343905530159147,0.9859763825397864,0.9,0.9
baseline,70040,1.0,0.0,0.8940330856702092,0.9600827141755228,0.7,1.0
baseline,70041,1.0,0.0,0.888906197673546,0.9472654941838647,0.8000000000000002,0.9
baseline,70042,1.0,0.0,0.8724231988769582,0.9060579971923953,0.8000000000000002,0.9
baseline,70043,1.0,0.0,0.8895469881831533,0.9488674704578828,0.8000000000000002,0.9
baseline,70044,1.0,0.0,0.9009585292707456,0.977396323176864,0.8000000000000002,0.9
baseline,70045,1.0,0.0,0.8685527252270542,0.9713818130676355,0.7,0.9
baseline,70046,1.0,0.0,0.8827161562903882,0.9317903907259704,0.8000000000000002,0.9
baseline,70047,1.0,0.0,0.9260387830102599,0.9650969575256495,0.9,0.9
baseline,70048,1.0,0.0,0.988561547034206,0.971403867585515,1.0,1.0
baseline,70049,1.0,0.0,0.8828186274269652,0.9320465685674127,0.8000000000000002,0.9
heldout-baseline,70100,1.0,0.0,0.9367551375444054,0.9918878438610134,0.9,0.9
heldout-baseline,70101,1.0,0.0,0.9323811168635717,0.9809527921589292,0.9,0.9
heldout-baseline,70102,1.0,0.0,0.9245305737059561,0.9613264342648902,0.8000000000000002,1.0
heldout-baseline,70103,1.0,0.0,0.9290920687151085,0.972730171787771,0.8000000000000002,1.0
heldout-baseline,70104,1.0,0.0,0.963167635276861,0.9829190881921521,0.9,1.0
heldout-baseline,70105,1.0,0.0,0.9308079871490393,0.977019967872598,0.9,0.9
heldout-baseline,70106,1.0,0.0,0.8688795310381485,0.9721988275953711,0.7,0.9
heldout-baseline,70107,1.0,0.0,0.9009807334876933,0.9774518337192329,0.8000000000000002,0.9
heldout-baseline,70108,1.0,0.0,0.9346704003217242,0.9866760008043104,0.9,0.9
heldout-baseline,70109,1.0,0.0,0.9336738254732855,0.9841845636832137,0.8000000000000002,1.0
heldout-baseline,70110,1.0,0.0,0.9328789299154931,0.9821973247887329,0.9,0.9
heldout-baseline,70111,1.0,0.0,0.9654561937549633,0.9886404843874079,1.0,0.9
heldout-baseline,70112,1.0,0.0,0.8616680190878545,0.9541700477196363,0.7,0.9
heldout-baseline,70113,1.0,0.0,0.9338022919124999,0.9845057297812495,0.9,0.9
heldout-baseline,70114,1.0,0.0,0.8675692454016275,0.8939231135040687,0.8000000000000002,0.9
heldout-baseline,70115,1.0,0.0,0.9345010997618896,0.9862527494047237,0.9,0.9
heldout-baseline,70116,1.0,0.0,0.8964560478939645,0.8911401197349108,0.8000000000000002,1.0
heldout-baseline,70117,1.0,0.0,0.9301208743924111,0.9753021859810276,0.9,0.9
heldout-baseline,70118,1.0,0.0,0.9532311729473086,0.9580779323682717,0.9,1.0
heldout-baseline,70119,1.0,0.0,0.9282568760470475,0.9706421901176189,0.8000000000000002,1.0
heldout-baseline,70120,1.0,0.0,0.9366660583148587,0.9916651457871466,0.9,0.9
heldout-baseline,70121,1.0,0.0,0.8646472146657855,0.9616180366644637,0.7,0.9
heldout-baseline,70122,1.0,0.0,0.834704459250495,0.8867611481262374,0.7,0.9
heldout-baseline,70123,1.0,0.0,0.927317354832262,0.9682933870806547,0.9,0.9
heldout-baseline,70124,1.0,0.0,0.8904938503470365,0.9512346258675912,0.8000000000000002,0.9
heldout-baseline,70125,1.0,0.0,0.9002006379746039,0.9755015949365097,0.8000000000000002,0.9
heldout-baseline,70126,1.0,0.0,0.8963112594906761,0.9657781487266902,0.8000000000000002,0.9
heldout-baseline,70127,1.0,0.0,0.8621688214554315,0.9554220536385788,0.7,0.9
heldout-baseline,70128,1.0,0.0,0.9680259925125809,0.9950649812814522,1.0,0.9
